date,stream,reach,microsite,quadrat,quadrat.id,species,sample.id,salmon.density,chum.density,pink.density,dist.upstream,dist.from.stream,side.of.stream,orientation,slope,aspect,avg.canopy.cover,avg.soil.moisture,ref.soil.moisture,stem.density,fruit.count,punch.weight.mg,punch.notes,image.id,leaf.area,num..of.leaves,rMean,gMean,bMean,percent.green,c.13,total.c.ug,n.15,total.n.ug,sample.weight.mg
9-Jul-19,Kajusdis,1,A,1,Kajusdis-1A1,MADI,Kajusdis-1A1-MADI,NA,NA,NA,17,8,R,16,48,34,88.92,5.6,5,12,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-34.33,1624.26,3.99,35.72,4.073
9-Jul-19,Kajusdis,1,A,1,Kajusdis-1A1,MEFE,Kajusdis-1A1-MEFE,NA,NA,NA,17,8,R,16,48,34,88.92,5.6,5,2,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-33.51,1883.49,4.24,86.85,4.587
9-Jul-19,Kajusdis,1,A,2,Kajusdis-1A2,VASP,Kajusdis-1A2-VASP,NA,NA,NA,14,14,R,16,48,34,92.56,15,5,3,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-34.17,1912.6,8.26,119.73,4.195
9-Jul-19,Kajusdis,1,A,3,Kajusdis-1A3,RUSP,Kajusdis-1A3-RUSP,NA,NA,NA,0,3.3,R,49,28,34,46.02,13.7,5,2,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-30.63,1919.12,4.42,84.58,4.396
9-Jul-19,Kajusdis,1,B,1,Kajusdis-1B1,RUSP,Kajusdis-1B1-RUSP,NA,NA,NA,55,4.2,L,228,34,214,71.24,4.5,5,3,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-31.55,1722.53,6.01,94.89,4.162
9-Jul-19,Kajusdis,1,B,2,Kajusdis-1B2,MADI,Kajusdis-1B2-MADI,NA,NA,NA,54,7.8,L,228,48,228,85.54,3.8,5,26,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-31.4,1665.05,8.86,42.95,4.079
9-Jul-19,Kajusdis,1,B,2,Kajusdis-1B2,MEFE,Kajusdis-1B2-MEFE,NA,NA,NA,54,7.8,L,228,48,228,85.54,3.8,5,2,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-31.17,1801.95,2.87,105.54,4.286
9-Jul-19,Kajusdis,1,B,3,Kajusdis-1B3,MADI,Kajusdis-1B3-MADI,NA,NA,NA,55,7.8,L,228,48,228,85.54,3.8,5,9,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9-Jul-19,Kajusdis,1,B,3,Kajusdis-1B3,VASP,Kajusdis-1B3-VASP,NA,NA,NA,55,7.8,L,228,48,228,85.54,3.8,5,5,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-33.76,2076.78,3.88,122.65,4.485
9-Jul-19,Kajusdis,1,C,1,Kajusdis-1C1,MEFE,Kajusdis-1C1-MEFE,NA,NA,NA,100,1.6,R,44,33,44,86.58,2.2,5,1,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9-Jul-19,Kajusdis,1,C,1,Kajusdis-1C1,VASP,Kajusdis-1C1-VASP,NA,NA,NA,100,1.6,R,44,33,44,86.58,2.2,5,13,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9-Jul-19,Kajusdis,1,C,2,Kajusdis-1C2,MADI,Kajusdis-1C2-MADI,NA,NA,NA,99,1.6,R,44,33,44,86.58,2.2,5,1,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9-Jul-19,Kajusdis,1,C,2,Kajusdis-1C2,MEFE,Kajusdis-1C2-MEFE,NA,NA,NA,99,1.6,R,44,33,44,86.58,7.7,5,2,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9-Jul-19,Kajusdis,1,C,2,Kajusdis-1C2,VASP,Kajusdis-1C2-VASP,NA,NA,NA,99,1.6,R,44,33,44,86.58,2.2,5,10,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-34.21,2071.77,5.22,102.23,4.411
9-Jul-19,Kajusdis,1,D,1,Kajusdis-1D1,MADI,Kajusdis-1D1-MADI,NA,NA,NA,157,0.5,R,334,16,334,49.92,7.7,5,340,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-29.97,1744.65,7.29,61.2,4.019
9-Jul-19,Kajusdis,1,D,1,Kajusdis-1D1,RUSP,Kajusdis-1D1-RUSP,NA,NA,NA,156,0.5,R,334,16,334,49.92,7.7,5,13,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-30.98,1509.95,2.82,66.86,3.592
9-Jul-19,Kajusdis,1,D,1,Kajusdis-1D1,VASP,Kajusdis-1D1-VASP,NA,NA,NA,157,0.5,R,334,16,334,49.92,7.7,5,5,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-32.77,2051.12,2.54,83.54,4.377
9-Jul-19,Kajusdis,1,D,2,Kajusdis-1D2,MEFE,Kajusdis-1D2-MEFE,NA,NA,NA,157,3.1,R,334,25,334,32.76,NA,5,6,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-33.38,1782.56,4.83,44.58,4.168
9-Jul-19,Kajusdis,1,D,2,Kajusdis-1D2,VASP,Kajusdis-1D2-VASP,NA,NA,NA,157,3.1,R,334,25,334,32.76,NA,5,3,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9-Jul-19,Kajusdis,2,A,1,Kajusdis-2A1,MADI,Kajusdis-2A1-MADI,NA,NA,NA,203,1,R,32,26,334,88.92,3.2,5,10,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-33.96,1838.29,6.67,58.62,4.474
9-Jul-19,Kajusdis,2,A,1,Kajusdis-2A1,MEFE,Kajusdis-2A1-MEFE,NA,NA,NA,203,1,R,32,26,334,88.92,3.2,5,4,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9-Jul-19,Kajusdis,2,A,1,Kajusdis-2A1,RUSP,Kajusdis-2A1-RUSP,NA,NA,NA,203,1,R,32,26,334,88.92,3.2,5,2,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-33.75,1908.14,7.12,146.21,4.366
9-Jul-19,Kajusdis,2,A,1,Kajusdis-2A1,VASP,Kajusdis-2A1-VASP,NA,NA,NA,203,1,R,32,26,334,88.92,3.2,5,3,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-34.02,1896.27,2.3,96.04,4.217
9-Jul-19,Kajusdis,2,B,1,Kajusdis-2B1,MADI,Kajusdis-2B1-MADI,NA,NA,NA,270,0.5,L,232,12,232,69.68,16.2,5,160,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-31.81,1767.94,7.35,54.95,4.19
9-Jul-19,Kajusdis,2,B,1,Kajusdis-2B1,MEFE,Kajusdis-2B1-MEFE,NA,NA,NA,270,0.5,L,232,12,232,69.68,16.2,5,2,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-32.19,1755.4,5.73,65.82,3.985
9-Jul-19,Kajusdis,2,B,1,Kajusdis-2B1,RUSP,Kajusdis-2B1-RUSP,NA,NA,NA,270,0.5,L,232,12,232,69.68,16.2,5,1,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-31.73,1861.2,2.39,82.12,4.332
9-Jul-19,Kajusdis,2,B,1,Kajusdis-2B1,VASP,Kajusdis-2B1-VASP,NA,NA,NA,270,0.5,L,232,12,232,69.68,16.2,5,2,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-32.59,2075.31,5.81,102.54,4.457
9-Jul-19,Kajusdis,2,C,1,Kajusdis-2C1,MADI,Kajusdis-2C1-MADI,NA,NA,NA,309,0.5,L,244,0,NA,86.84,50.2,5,15,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-31.9,1592.42,4.65,41.76,4.021
9-Jul-19,Kajusdis,2,C,1,Kajusdis-2C1,MEFE,Kajusdis-2C1-MEFE,NA,NA,NA,309,0.5,L,244,0,NA,86.84,50.2,5,5,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-32.3,1956.48,1.85,95.77,4.608
9-Jul-19,Kajusdis,2,C,1,Kajusdis-2C1,VASP,Kajusdis-2C1-VASP,NA,NA,NA,309,0.5,L,244,0,NA,86.84,50.2,5,1,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-33.05,2150.69,2.7,129.97,4.648
9-Jul-19,Kajusdis,2,D,1,Kajusdis-2D1,MEFE,Kajusdis-2D1-MEFE,NA,NA,NA,361,0.5,R,36,43,36,65,83.3,5,3,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9-Jul-19,Kajusdis,2,D,1,Kajusdis-2D1,RUSP,Kajusdis-2D1-RUSP,NA,NA,NA,361,0.5,R,36,43,36,65,83.3,5,2,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-32.65,1963.89,5.9,118.36,4.618
9-Jul-19,Kajusdis,2,D,2,Kajusdis-2D2,MADI,Kajusdis-2D2-MADI,NA,NA,NA,361,2.9,L,242,0,NA,87.88,12.8,5,19,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-32.45,1783.46,7.42,48.48,4.263
9-Jul-19,Kajusdis,2,D,2,Kajusdis-2D2,MEFE,Kajusdis-2D2-MEFE,NA,NA,NA,361,2.9,L,242,0,NA,87.88,12.8,5,4,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-32.68,1817.74,0.6,72.81,4.326
9-Jul-19,Kajusdis,3,A,1,Kajusdis-3A1,MEFE,Kajusdis-3A1-MEFE,NA,NA,NA,436,1,R,13,27,13,92.04,32.5,5,4,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-33.54,1736.28,-1.48,59.76,4.337
9-Jul-19,Kajusdis,3,A,1,Kajusdis-3A1,RUSP,Kajusdis-3A1-RUSP,NA,NA,NA,436,1,R,13,27,13,92.04,32.5,5,1,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-33.22,1950.85,2.32,115.69,4.527
9-Jul-19,Kajusdis,3,A,2,Kajusdis-3A2,MEFE,Kajusdis-3A2-MEFE,NA,NA,NA,438,1.1,R,24,27,24,92.04,7.7,5,7,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-32.85,1841.56,0.06,65.22,4.474
9-Jul-19,Kajusdis,3,A,2,Kajusdis-3A2,VASP,Kajusdis-3A2-VASP,NA,NA,NA,438,1.1,R,24,27,24,92.04,7.7,5,1,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-35.71,2045.8,0.17,92.65,4.541
9-Jul-19,Kajusdis,3,B,1,Kajusdis-3B1,MEFE,Kajusdis-3B1-MEFE,NA,NA,NA,493,2.6,L,235,30,235,85.8,6.7,5,3,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
